Episode;Step;Action;Action type;Reward
6;37;6;Random;2.0
6;38;4;Random;4.375
6;39;8;Model;7.875
6;40;3;Random;-3.5
6;41;4;Model;-100.0
6;42;1;Random;-100.0
6;43;8;Model;-100.0
6;44;8;Model;-100.0
6;45;8;Model;-100.0
6;46;1;Random;-100.0
6;47;4;Random;-100.0
7;1;2;Random;0.0
7;2;8;Model;4.0
7;3;8;Model;3.0
7;4;8;Random;3.0
7;5;8;Model;3.0
7;6;8;Model;3.0
7;7;3;Random;-2.0
7;8;9;Model;5.0
7;9;9;Model;3.0
7;10;0;Random;-2.0
7;11;8;Random;0.0
7;12;7;Random;-1.0
7;13;8;Model;0.0
7;14;8;Model;5.0
7;15;2;Random;2.0
7;16;5;Random;-1.5
7;17;1;Random;0.0
7;18;0;Random;0.0
7;19;8;Random;0.0
7;20;8;Model;0.5
7;21;0;Random;0.0
7;22;8;Model;0.0
7;23;8;Model;0.0
7;24;8;Model;0.0
7;25;8;Model;0.0
7;26;8;Model;0.0
7;27;1;Random;0.0
7;28;8;Model;0.0
7;29;4;Random;-100.0
7;30;2;Random;-100.0
7;31;7;Random;7.0
7;32;1;Random;-100.0
7;33;3;Random;-100.0
7;34;8;Model;-100.0
7;35;1;Random;-100.0
7;36;0;Random;-100.0
7;37;1;Random;-100.0
7;38;8;Model;-100.0
7;39;7;Random;-100.0
8;1;4;Random;14.0
8;2;6;Random;0.0
8;3;8;Model;0.875
8;4;8;Random;7.0
8;5;0;Random;-3.5
8;6;2;Random;4.375
8;7;8;Random;4.375
8;8;9;Random;0.0
8;9;9;Model;4.375
8;10;8;Random;3.5
8;11;9;Model;3.5
8;12;2;Random;-0.875
8;13;4;Random;8.25
8;14;8;Model;9.0
8;15;4;Random;11.875
8;16;8;Model;8.125
8;17;8;Model;9.375
8;18;8;Random;9.375
8;19;5;Random;-12.75
8;20;0;Random;0.0
8;21;7;Random;0.0
8;22;8;Model;0.0
8;23;8;Model;0.0
8;24;8;Model;5.25
8;25;8;Model;9.0
8;26;9;Random;0.75
8;27;8;Model;4.5
8;28;8;Model;-100.0
8;29;7;Random;0.75
8;30;6;Random;5.25
8;31;2;Random;5.25
8;32;3;Random;-5.25
8;33;4;Random;2.5
8;34;5;Random;-3.0
8;35;8;Model;0.0
8;36;8;Model;-100.0
8;37;7;Random;0.75
8;38;7;Random;0.0
8;39;8;Model;0.0
8;40;2;Random;-100.0
8;41;3;Random;0.75
8;42;8;Random;-100.0
8;43;8;Model;-100.0
8;44;9;Random;-100.0
8;45;5;Random;-100.0
8;46;6;Random;-100.0
8;47;7;Random;0.875
8;48;2;Random;-100.0
8;49;8;Random;-100.0
8;50;8;Random;-100.0
8;51;8;Model;-100.0
9;1;5;Random;-4.0
9;2;4;Model;0.0
9;3;4;Model;14.0
9;4;1;Random;0.0
9;5;9;Model;7.0
9;6;9;Model;6.125
9;7;4;Random;11.25
9;8;9;Model;6.75
9;9;9;Model;8.25
9;10;5;Random;-11.375
9;11;5;Random;0.0
9;12;3;Random;0.0
9;13;9;Model;0.0
9;14;9;Model;3.0
9;15;6;Random;-3.0
9;16;4;Model;1.75
9;17;3;Random;4.375
9;18;7;Random;5.25
9;19;4;Model;8.25
9;20;0;Random;2.25
9;21;0;Random;4.5
9;22;5;Random;-5.25
9;23;9;Random;0.0
9;24;4;Random;5.25
9;25;4;Model;6.875
9;26;8;Random;-0.625
9;27;3;Random;0.0
9;28;7;Random;5.0
9;29;4;Model;-100.0
9;30;4;Model;-100.0
9;31;4;Random;-100.0
9;32;0;Random;-100.0
9;33;4;Model;-100.0
9;34;4;Model;-100.0
